1.6867 	WARNING 	Requested audio device 'Digital Audio (S/PDIF)(High Definition Audio Device)' that is not available on this hardware. The 'audioDevice' preference should be one of ['Digital Audio (S/PDIF) (High Definition Audio Device)', 'E2251 (NVIDIA High Definition Audio)', 'Headphones (MDR-XB950B1 Stereo)', 'Headset (MDR-XB950B1 Hands-Free AG Audio)']
9.0430 	EXP 	slider: markerPos = 0.6851851851851853
9.0597 	EXP 	slider: markerPos = 0.6851851851851853
9.0775 	EXP 	slider: markerPos = 0.6851851851851853
9.1112 	EXP 	slider: markerPos = 0.6851851851851853
9.1445 	EXP 	slider: markerPos = 0.6851851851851853
9.1764 	EXP 	slider: markerPos = 0.6851851851851853
9.1930 	EXP 	slider: markerPos = 0.6851851851851853
9.2097 	EXP 	slider: markerPos = 0.6851851851851853
9.2264 	EXP 	slider: markerPos = 0.6851851851851853
9.2430 	EXP 	slider: markerPos = 0.6851851851851853
9.2613 	EXP 	slider: markerPos = 0.6851851851851853
9.2945 	EXP 	slider: markerPos = 0.6851851851851853
9.3264 	EXP 	slider: markerPos = 0.6851851851851853
9.3430 	EXP 	slider: markerPos = 0.6851851851851853
9.3611 	EXP 	slider: markerPos = 0.6851851851851853
9.3945 	EXP 	slider: markerPos = 0.6851851851851853
9.4264 	EXP 	slider: markerPos = 0.6851851851851853
9.4427 	EXP 	slider: markerPos = 0.6851851851851853
9.4597 	EXP 	slider: markerPos = 0.6851851851851853
9.4779 	EXP 	slider: markerPos = 0.6851851851851853
9.5098 	EXP 	slider: markerPos = 0.6851851851851853
9.5445 	EXP 	slider: markerPos = 0.6851851851851853
9.5779 	EXP 	slider: markerPos = 0.6851851851851853
9.6112 	EXP 	slider: markerPos = 0.6851851851851853
9.6431 	EXP 	slider: markerPos = 0.6851851851851853
9.6597 	EXP 	slider: markerPos = 0.6851851851851853
9.6946 	EXP 	slider: markerPos = 0.6851851851851853
9.7264 	EXP 	slider: markerPos = 0.6851851851851853
9.7612 	EXP 	slider: markerPos = 0.6851851851851853
9.7945 	EXP 	slider: markerPos = 0.6851851851851853
9.8264 	EXP 	slider: markerPos = 0.6851851851851853
9.8446 	EXP 	slider: markerPos = 0.6851851851851853
9.8778 	EXP 	slider: markerPos = 0.6851851851851853
9.9109 	EXP 	slider: markerPos = 0.6851851851851853
9.9445 	EXP 	slider: markerPos = 0.6851851851851853
9.9778 	EXP 	slider: markerPos = 0.6851851851851853
10.0098 	EXP 	slider: markerPos = 0.6851851851851853
10.0263 	EXP 	slider: markerPos = 0.6851851851851853
10.0445 	EXP 	slider: markerPos = 0.6851851851851853
10.0779 	EXP 	slider: markerPos = 0.6851851851851853
10.1098 	EXP 	slider: markerPos = 0.6851851851851853
10.1263 	EXP 	slider: markerPos = 0.6851851851851853
10.1427 	EXP 	slider: markerPos = 0.6851851851851853
10.1612 	EXP 	slider: markerPos = 0.6851851851851853
10.1931 	EXP 	slider: markerPos = 0.6851851851851853
10.2096 	EXP 	slider: markerPos = 0.6851851851851853
10.2263 	EXP 	slider: markerPos = 0.6851851851851853
10.2446 	EXP 	slider: markerPos = 0.6851851851851853
10.2764 	EXP 	slider: markerPos = 0.6851851851851853
10.2930 	EXP 	slider: markerPos = 0.6851851851851853
10.3096 	EXP 	slider: markerPos = 0.6851851851851853
10.3263 	EXP 	slider: markerPos = 0.6851851851851853
10.3430 	EXP 	slider: markerPos = 0.6851851851851853
10.3597 	EXP 	slider: markerPos = 0.6851851851851853
10.3764 	EXP 	slider: markerPos = 0.6851851851851853
10.3930 	EXP 	slider: markerPos = 0.6851851851851853
10.4097 	EXP 	slider: markerPos = 0.6851851851851853
10.4263 	EXP 	slider: markerPos = 0.6851851851851853
