scene,model,test_r2_avg,seed0_r2,seed1_r2,seed2_r2,seed3_r2,seed4_r2,seed5_r2,seed6_r2,seed7_r2,seed8_r2,seed9_r2
Hallway,CNN,0.27456212043762207,0.2537429928779602,0.28616535663604736,0.2764893174171448,0.2559342384338379,0.2683930993080139,0.252098023891449,0.2574594020843506,0.28768354654312134,0.2739218473434448,0.26968199014663696
Hall,CNN,0.13918817043304443,0.12164199352264404,0.12399023771286011,0.13702237606048584,0.12117505073547363,0.14368432760238647,0.13596802949905396,0.1287887692451477,0.14031147956848145,0.11269211769104004,0.1252133846282959
Elevator,CNN,0.07861536741256714,0.07845902442932129,0.05841934680938721,0.07664322853088379,0.06154066324234009,0.06706774234771729,0.08343368768692017,0.07129061222076416,0.08022552728652954,0.06424784660339355,0.07608836889266968
Outside,CNN,0.015421509742736816,0.0033350586891174316,0.013586640357971191,0.009706735610961914,0.01475614309310913,0.01868891716003418,0.010183930397033691,0.0018645524978637695,-0.007644057273864746,0.016360938549041748,-7.867813110351562e-06
