scene,mean_r2,std_r2,n_seeds
Hallway,0.26815698146820066,0.013081445984164665,10
Hall,0.12904877662658687,0.00987288720925306,10
Elevator,0.07174160480499261,0.00854057183757334,10
Outside,0.008083099126815754,0.008412263373726709,10
