scene,n_windows,dist_min_mean,dist_min_std,dist_min_n_uniq,count_personal_mean,count_personal_std,count_personal_n_uniq,backward_flag_mean,backward_flag_std,backward_flag_n_uniq,speed_mean,speed_std,speed_n_uniq
Elevator1,11760,-0.0003699799708556384,0.7377681136131287,435530,0.0001435478188795969,0.4799651503562927,3913,0.1472497135400772,0.35435473918914795,2,-0.001099402317777276,0.9871211647987366,1031148
Outside,18217,3.7302146665751934e-05,0.739372730255127,1613590,-2.0083054550923407e-05,0.3478694558143616,1408,0.3304583728313446,0.4703783094882965,2,-2.4489489078405313e-05,0.9996835589408875,3260318
Hallway,12355,4.3055915739387274e-05,0.6845884919166565,1016797,-1.185478686238639e-05,0.33594539761543274,1288,0.24506326019763947,0.4301248788833618,2,-5.545350722968578e-05,0.8593745827674866,1795170
Elevator2,10194,-0.00040183780947700143,0.816800594329834,434016,0.0001862995995907113,0.4887295365333557,3515,0.1349630504846573,0.3416840732097626,2,-0.0017190229846164584,0.9792141318321228,772952
Hall,6244,6.360338011290878e-05,0.836640477180481,805471,-3.0423401767620817e-05,0.43331533670425415,937,0.4756491482257843,0.49940669536590576,2,-0.00014509544416796416,0.9983705878257751,1252547
