scene,protocol_order,n_all,mean_all,std_all,sem_all,median_all,n_cc,mean_cc,std_cc,sem_cc
Elevator1,1,105,0.23735044958247314,0.36658498311711096,0.03577503117658254,0.3286986947059631,104,0.2393363351136661,0.367792252575498,0.03606499755443675
Outside,2,107,0.018290641687964876,0.015111277363837832,0.0014608623223711795,0.0140386251732707,104,0.018311096978532733,0.01364750735674064,0.0013382481985369542
Hallway,3,107,0.016646604566393105,0.016416919678513792,0.0015870835290951086,0.0135258641093969,104,0.016323963859926675,0.016323117565899437,0.0016006133652152
Elevator2,4,105,-0.2478873757468093,0.42186919433538045,0.04117021775266367,-0.3303585052490234,104,-0.2507090151327877,0.4229153898288541,0.04147026587184667
Hall,5,106,0.036949000010384384,0.03203329411634498,0.0031113485699938007,0.03969518467783925,104,0.036652977673349144,0.032236803126925444,0.003161078619231572
