comparison,delta_logL,delta_df,p,delta_AIC
M1_scene vs M0,170.58614986957627,4,0.0,162.58614986957627
M2_order_linear vs M0,57.57066044964722,1,3.26405569239796e-14,55.57066044964722
M3_order_quadratic vs M0,50.724587099661676,2,9.667044942318626e-12,46.724587099661676
M1_scene vs M2_order_linear (AIC delta),56.50774470996453,3,,107.01548941992905
M3_order_quadratic vs M2_order_linear,-6.846073349985545,1,1.0,8.846073349985545
