param,coef,std_err,z,p_value
Intercept,0.23933633511367383,0.024517876753151768,9.761707244201201,1.643646237463032e-22
C(scene)[T.Outside],-0.2210252381351418,0.034673513823028176,-6.374468975461881,1.8359797598546193e-10
C(scene)[T.Hallway],-0.22301237125374787,0.03467351382302818,-6.43177880361337,1.261191876713436e-10
C(scene)[T.Elevator2],-0.49004535024646245,0.034673513823028176,-14.133132071575687,2.3734858915393786e-45
C(scene)[T.Hall],-0.20268335744032534,0.034673513823028176,-5.845480745759161,5.051073623236196e-09
