model,formula,n_obs,n_groups,n_fixed_params,loglik,AIC,BIC,var_fixed,var_random_intercept,var_residual,R2_marginal,R2_conditional,converged
M0_intercept_only,anxiety ~ 1,520,104,1,-102.33930863950877,210.67861727901754,223.44010371374395,3.0150637376004415e-36,8.802704675052685e-12,0.08678995923924096,3.4739775934027806e-35,1.0142538090028089e-10,True
M1_scene,anxiety ~ C(scene),520,104,5,-17.046233704720635,48.09246740944127,77.86926909046957,0.024319594526776313,6.7464033808980804e-12,0.06251713316345647,0.28006115812701593,0.2800611582047066,True
M2_order_linear,anxiety ~ order_centered,520,104,2,-73.55397841468516,155.10795682937032,172.12327207567222,0.009113477767188578,8.585137002675773e-12,0.07769400739080468,0.10498493015550857,0.10498493025440715,True
M3_order_quadratic,anxiety ~ order_centered + order_sq,520,104,3,-76.97701508967793,163.95403017935587,185.22317423723322,0.017201831037364612,9.703439387437633e-34,0.07872365288808678,0.1793249336196525,0.1793249336196525,True
