model,coef_SSQ_z,se_SSQ_z,p_SSQ_z,AIC,loglik,var_random_intercept,R2_marginal
M1_raw_scene,,,,1963.4657541592533,-974.7328770796266,1.6380758363865786,0.11041444884060819
M3_raw_scene+SSQ,0.4431371023088172,0.12916733070958042,0.0006019789089783153,1954.3043127418623,-969.1521563709312,1.4420696199180014,0.1640877567430151
M4_raw_scene*SSQ,0.4066675764524132,0.1697660906413476,0.016599606148042647,1959.5260598845125,-967.7630299422563,1.4441669861396336,0.16639955771367762
M1_zPID_scene,,,,1256.7795268917062,-621.3897634458531,6.476591223324776e-11,0.23685977880322626
M3_zPID_scene+SSQ,1.899899636260498e-17,0.03397945393736659,0.9999999999999996,1258.7795268917062,-621.3897634458531,6.476591223324776e-11,0.23685977880322626
M4_zPID_scene*SSQ,-0.002869905148959886,0.07588550697239964,0.9698320882710644,1265.4552849902748,-620.7276424951374,6.46042931529002e-11,0.23876689808606213
