subscale,n_obs,n_pids,main_effect_coef_per_SD,main_effect_SE,main_effect_p_z,LRT_add_subscale_vs_scene_only_delta_logL,LRT_add_subscale_vs_scene_only_p,LRT_add_subscale_vs_scene_only_delta_AIC,LRT_add_interaction_vs_additive_delta_logL,LRT_add_interaction_vs_additive_p,LRT_add_interaction_vs_additive_delta_AIC,Post_subscale_mean,Post_subscale_std
N,530,106,0.4329416091682983,0.12949275969169732,0.000827688429360655,10.627410460092506,0.001114236336872243,-8.627410460092506,3.5799572354571865,0.4658252636791106,4.4200427645428135,25.019999999999996,33.7851276549553
O,530,106,0.4491410071398949,0.1289717756262951,0.0004968012777095829,11.483031157542428,0.0007023448910519203,-9.483031157542428,2.4040916074318375,0.6618879715239743,5.5959083925681625,27.602641509433962,26.41026094851026
D,530,106,0.34647755886540627,0.13191989453312045,0.008628729414916506,6.682637076211904,0.009735648878487657,-4.682637076211904,6.494100697515023,0.16516246678251423,1.505899302484977,26.264150943396224,39.14408136117698
