model,formula,k_fixed,loglik,AIC,BIC,R2_marginal,R2_conditional,var_random_intercept
M0_intercept,anxiety_mean ~ 1,1,-1032.2801151366903,2070.5602302733805,2083.378861293019,5.403430734804229e-32,0.42039495088512996,1.5372643028205788
M1_scene,anxiety_mean ~ C(scene),5,-974.7328770796266,1963.4657541592533,1993.3758932050764,0.11041444884060819,0.5582806798703941,1.6380758363865786
M2_SSQ_only,anxiety_mean ~ SSQ_z,2,-1026.6993944213218,2061.3987888426436,2078.4902968688284,0.05369621884436234,0.4204482809196232,1.3412356440976443
M3_scene_plus_SSQ,anxiety_mean ~ C(scene) + SSQ_z,6,-969.1521563709312,1954.3043127418623,1988.4873287942316,0.1640877567430151,0.5583246840623451,1.4420696199180014
M4_scene_times_SSQ,anxiety_mean ~ C(scene) * SSQ_z,10,-967.7630299422563,1959.5260598845125,2010.8005839630664,0.16639955771367762,0.5612092317581137,1.4441669861396336
