Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,System Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,VSenseBatt,VSenseBatt,External ADC A7,External ADC A7,External ADC A6,External ADC A6,External ADC A15,External ADC A15,Internal ADC A13,Internal ADC A13,Pressure,Pressure,Temperature,Temperature,GSR,GSR,GSR Conductance,
RAW,CAL,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,CAL,
no units,mSecs,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,kPa,no units,Celcius*,no units,kOhms,uSiemens,
2928128,120439713.439941,1711753507433.69,12278,-690.987951807229,59399,-123.265060240964,5638,-43.2650602409639,-15617,375.206106870229,-24576,238.427480916031,4863,-74.2442748091603,-27387,-39886.7076923077,25353,18573.6263736264,48136,35264.4688644689,25608,18760.4395604396,12296,9008.05860805861,5274.35546875,6.45337253029699,51314,145.714599396085,48136,284.671532846715,3.51282051282051,
2960896,120440713.439941,1711753508433.69,12278,-700.240963855422,60167,-123.265060240964,5894,-46.3493975903614,-15617,363.480916030534,-23808,238.427480916031,4863,-74.2442748091603,30725,44748.2051282051,6153,4507.69230769231,27401,20073.9926739927,53256,39015.3846153846,12296,9008.05860805861,5274.35546875,7.90754898589906,56434,171.468039018049,48392,257.207461842849,3.88791208791209,
2993664,120441713.439941,1711753509433.69,12022,-706.409638554217,60679,-120.180722891566,5126,-37.0963855421687,-15617,457.282442748092,-29952,238.427480916031,7679,-117.236641221374,-27899,-40632.3897435897,45065,33014.652014652,23048,16884.9816849817,47112,34514.2857142857,12040,8820.51282051282,5274.35546875,7.90754898589906,56434,171.468039018049,48136,284.671532846715,3.51282051282051,
3026432,120442713.439941,1711753510433.69,12534,-697.156626506024,59911,-126.349397590361,5126,-37.0963855421687,-15617,426.015267175572,-27904,238.427480916031,11263,-171.954198473282,-31739,-46225.0051282051,23049,16885.7142857143,35848,26262.2710622711,61960,45391.9413919414,12807,9382.41758241758,5274.35546875,6.3769439843558,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
3059200,120443713.439941,1711753511433.69,12278,-700.240963855422,60167,-123.265060240964,5126,-37.0963855421687,-15617,371.297709923664,-24320,238.427480916031,14591,-222.763358778626,-29691,-43242.2769230769,18441,13509.8901098901,30984,22698.9010989011,54280,39765.5677655678,12296,9008.05860805861,5274.35546875,6.97901573581565,53106,154.752278678203,48136,284.671532846715,3.51282051282051,
3091968,120444713.439941,1711753512433.69,12534,-703.325301204819,60423,-126.349397590361,5126,-37.0963855421687,-15617,343.93893129771,-22528,238.427480916031,12287,-187.587786259542,-31739,-46225.0051282051,11529,8446.15384615385,13832,10133.3333333333,20488,15009.5238095238,12040,8820.51282051282,5274.35546875,6.3769439843558,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
3124736,120445713.439941,1711753513433.69,13046,-697.156626506024,59911,-132.518072289157,5638,-43.2650602409639,-15617,308.763358778626,-20224,238.427480916031,11263,-171.954198473282,-27899,-40632.3897435897,19721,14447.619047619,25864,18947.9853479853,46856,34326.7399267399,12552,9195.60439560439,5274.36328125,6.45340059513788,51314,145.714599396085,48136,284.671532846715,3.51282051282051,
3157504,120446713.439941,1711753514433.69,12790,-694.072289156627,59655,-129.433734939759,5382,-40.1807228915663,-15617,371.297709923664,-24320,238.427480916031,11007,-168.045801526718,-29947,-43615.1179487179,18441,13509.8901098901,26888,19698.1684981685,56072,41078.3882783883,11784,8632.96703296703,5274.36328125,6.45340059513788,51314,145.714599396085,48392,257.207461842849,3.88791208791209,
3190272,120447713.439941,1711753515433.69,12534,-697.156626506024,59911,-126.349397590361,5382,-40.1807228915663,-15617,363.480916030534,-23808,238.427480916031,8959,-136.778625954198,-27131,-39513.8666666667,23561,17260.8058608059,38408,28137.7289377289,7944,5819.78021978022,12552,9195.60439560439,5274.36328125,6.37697200524455,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
3223040,120448713.439941,1711753516433.69,12790,-697.156626506024,59911,-129.433734939759,5638,-43.2650602409639,-15617,383.022900763359,-25088,238.427480916031,6399,-97.6946564885496,-27899,-40632.3897435897,25097,18386.0805860806,46600,34139.1941391941,22536,16509.8901098901,13064,9570.69597069597,5274.35546875,7.41569376747482,54642,162.477326662858,48392,257.207461842849,3.88791208791209,
3255808,120449713.439941,1711753517433.69,12278,-700.240963855422,60167,-123.265060240964,5638,-43.2650602409639,-15617,394.748091603053,-25856,238.427480916031,2815,-42.9770992366412,-29691,-43242.2769230769,19465,14260.0732600733,37896,27762.6373626374,62472,45767.032967033,12039,8819.78021978022,5274.35546875,8.31289610598372,57970,179.157875241095,48136,284.671532846715,3.51282051282051,
3288576,120450713.439941,1711753518433.69,12534,-703.325301204819,60423,-126.349397590361,5638,-43.2650602409639,-15617,398.656488549618,-26112,238.427480916031,5887,-89.8778625954198,-31483,-45852.1641025641,13577,9946.52014652015,21512,15759.706959707,28168,20635.8974358974,12808,9383.15018315018,5274.35546875,8.6384689031227,59250,185.555719969423,48136,284.671532846715,3.51282051282051,
3321344,120451713.439941,1711753519433.69,12790,-703.325301204819,60423,-129.433734939759,5638,-43.2650602409639,-15617,386.931297709924,-25344,238.427480916031,5631,-85.969465648855,-29691,-43242.2769230769,14089,10321.6117216117,16904,12383.8827838828,23816,17447.619047619,11784,8632.96703296703,5274.3515625,7.27161139089421,54130,159.904350835199,48392,257.207461842849,3.88791208791209,
3354112,120452713.439941,1711753520433.69,12022,-703.325301204819,60423,-120.180722891566,5382,-40.1807228915663,-15617,363.480916030534,-23808,238.427480916031,5119,-78.1526717557252,-27899,-40632.3897435897,21001,15385.347985348,29704,21761.1721611722,56584,41453.4798534799,11528,8445.42124542124,5274.3515625,6.97900155572999,53106,154.752278678203,48136,284.671532846715,3.51282051282051,
3386880,120453713.439941,1711753521433.69,12022,-703.325301204819,60423,-120.180722891566,5638,-43.2650602409639,-15617,371.297709923664,-24320,238.427480916031,5887,-89.8778625954198,-27643,-40259.5487179487,22793,16698.1684981685,38920,28512.8205128205,8712,6382.41758241758,11784,8632.96703296703,5274.3515625,7.76902479646246,55922,168.901489832884,48392,257.207461842849,3.88791208791209,
3419648,120454713.439941,1711753522433.69,12790,-703.325301204819,60423,-129.433734939759,5638,-43.2650602409639,-15617,347.847328244275,-22784,238.427480916031,15103,-230.580152671756,30725,44748.2051282051,5129,3757.50915750916,21001,15385.347985348,30728,22511.3553113553,11016,8070.32967032967,5274.3515625,6.52946199926987,51570,147.007501031486,48392,257.207461842849,3.88791208791209,
3452416,120455713.439941,1711753523433.69,12534,-700.240963855422,60167,-126.349397590361,5638,-43.2650602409639,-15617,359.572519083969,-23552,238.427480916031,14847,-226.671755725191,-27899,-40632.3897435897,44809,32827.1062271062,21512,15759.706959707,36616,26824.9084249084,11272,8257.87545787546,5274.3515625,7.69915447247408,55666,167.617565290017,48392,257.207461842849,3.88791208791209,
3485184,120456713.439941,1711753524433.69,12534,-700.240963855422,60167,-126.349397590361,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,13823,-211.038167938931,-27643,-40259.5487179487,32777,24012.4542124542,55304,40515.7509157509,26887,19697.4358974359,11272,8257.87545787546,5274.3515625,6.30018094930166,50802,143.126867745139,48392,257.207461842849,3.88791208791209,
3517952,120457713.439941,1711753525433.69,12790,-697.156626506024,59911,-129.433734939759,5126,-37.0963855421687,-15617,394.748091603053,-25856,238.427480916031,6655,-101.603053435115,-30459,-44360.8,21257,15572.8937728938,19720,14446.8864468864,32008,23449.0842490842,11272,8257.87545787546,5274.359375,7.62890879817558,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
3550720,120458713.439941,1711753526433.69,12534,-697.156626506024,59911,-126.349397590361,5126,-37.0963855421687,-15617,390.839694656489,-25600,238.427480916031,7167,-109.419847328244,-27643,-40259.5487179487,23305,17073.2600732601,36616,26824.9084249084,63240,46329.6703296703,11015,8069.59706959707,5274.359375,8.17952902557823,57458,176.596169311528,48136,284.671532846715,3.51282051282051,
3583488,120459713.439941,1711753527433.69,12534,-697.156626506024,59911,-126.349397590361,5126,-37.0963855421687,-15617,375.206106870229,-24576,238.427480916031,4351,-66.4274809160305,-29691,-43242.2769230769,18697,13697.4358974359,33032,24199.2673992674,42248,30950.9157509157,11783,8632.23443223443,5274.359375,7.41570806523397,54642,162.477326662858,48392,257.207461842849,3.88791208791209,
3616256,120460713.439941,1711753528433.69,12022,-697.156626506024,59911,-120.180722891566,5382,-40.1807228915663,-15617,347.847328244275,-22784,238.427480916031,5375,-82.0610687022901,-28155,-41005.2307692308,21257,15572.8937728938,37896,27762.6373626374,51464,37702.5641025641,11783,8632.23443223443,5274.35546875,6.90495850613758,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
3649024,120461713.439941,1711753529433.69,12022,-700.240963855422,60167,-120.180722891566,5126,-37.0963855421687,-15617,375.206106870229,-24576,238.427480916031,8447,-128.961832061069,-27899,-40632.3897435897,24073,17635.8974358974,44552,32638.8278388278,11016,8070.32967032967,12552,9195.60439560439,5274.35546875,7.83850079065639,56178,170.184978228763,48392,257.207461842849,3.88791208791209,
3747328,121488713.439941,1711754556433.69,12022,-700.240963855422,60167,-120.180722891566,5638,-43.2650602409639,-15617,383.022900763359,-25088,238.427480916031,13567,-207.129770992366,-28155,-41005.2307692308,23817,17448.3516483516,49416,36202.1978021978,39688,29075.4578754579,13064,9570.69597069597,5274.359375,6.97902991590132,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
3780096,121489713.439941,1711754557433.69,12278,-703.325301204819,60423,-123.265060240964,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,13823,-211.038167938931,-30715,-44733.641025641,16137,11821.978021978,33288,24386.8131868132,53000,38827.8388278388,13063,9569.96336996337,5274.359375,7.34386429397656,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
3812864,121490713.439941,1711754558433.69,12534,-703.325301204819,60423,-126.349397590361,6150,-49.433734939759,-15617,394.748091603053,-25856,238.427480916031,13823,-211.038167938931,-31483,-45852.1641025641,11785,8633.69963369963,15112,11071.0622710623,9992,7320.14652014652,13064,9570.69597069597,5274.3515625,6.75577680458646,52338,150.882517832861,48392,257.207461842849,3.88791208791209,
3845632,121491713.439941,1711754559433.69,12534,-700.240963855422,60167,-126.349397590361,5126,-37.0963855421687,-15617,414.290076335878,-27136,238.427480916031,8959,-136.778625954198,-28155,-41005.2307692308,18185,13322.3443223443,24072,17635.1648351648,38920,28512.8205128205,12552,9195.60439560439,5274.3515625,7.27161139089421,54130,159.904350835199,48136,284.671532846715,3.51282051282051,
3878400,121492713.439941,1711754560433.69,12534,-697.156626506024,59911,-126.349397590361,5382,-40.1807228915663,-15617,386.931297709924,-25344,238.427480916031,11263,-171.954198473282,-29435,-42869.4358974359,18185,13322.3443223443,27656,20260.8058608059,54792,40140.6593406593,12808,9383.15018315018,5274.3515625,6.90494434647434,52850,153.462921415624,48392,257.207461842849,3.88791208791209,
3911168,121493713.439941,1711754561433.69,12534,-700.240963855422,60167,-126.349397590361,5126,-37.0963855421687,-15617,410.381679389313,-26880,238.427480916031,4351,-66.4274809160305,-27643,-40259.5487179487,21513,15760.4395604396,34312,25136.9963369963,59912,43891.5750915751,12551,9194.87179487179,5274.359375,7.19903960011667,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
3943936,121494713.439941,1711754562433.69,12534,-697.156626506024,59911,-126.349397590361,5126,-37.0963855421687,-15617,336.12213740458,-22016,238.427480916031,8703,-132.870229007634,-27387,-39886.7076923077,24585,18010.989010989,43272,31701.0989010989,9224,6757.50915750916,12808,9383.15018315018,5274.359375,7.62890879817558,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
3976704,121495713.439941,1711754563433.69,12534,-700.240963855422,60167,-126.349397590361,5382,-40.1807228915663,-15617,379.114503816794,-24832,238.427480916031,5375,-82.0610687022901,-27387,-39886.7076923077,26121,19136.2637362637,50952,37327.4725274725,37640,27575.0915750916,13832,10133.3333333333,5274.359375,8.04440095702072,56946,174.032910837902,48136,284.671532846715,3.51282051282051,
4009472,121496713.439941,1711754564433.69,12278,-703.325301204819,60423,-123.265060240964,5126,-37.0963855421687,-15617,406.473282442748,-26624,238.427480916031,8191,-125.053435114504,-27131,-39513.8666666667,26889,19698.9010989011,56072,41078.3882783883,58632,42953.8461538461,13832,10133.3333333333,5274.359375,7.19903960011667,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
4042240,121497713.439941,1711754565433.69,12022,-700.240963855422,60167,-120.180722891566,5638,-43.2650602409639,-15617,359.572519083969,-23552,238.427480916031,5887,-89.8778625954198,-31227,-45479.3230769231,17161,12572.1611721612,38664,28325.2747252747,10760,7882.78388278388,14088,10320.8791208791,5274.359375,7.05272992993133,53362,156.041088870443,48136,284.671532846715,3.51282051282051,
4075008,121498713.439941,1711754566433.69,12534,-700.240963855422,60167,-126.349397590361,5382,-40.1807228915663,-15617,390.839694656489,-25600,238.427480916031,9727,-148.503816793893,-31227,-45479.3230769231,12553,9196.336996337,19464,14259.3406593407,26120,19135.5311355311,14088,10320.8791208791,5274.359375,6.06808353547662,50034,139.240223699633,48392,257.207461842849,3.88791208791209,
4107776,121499713.439941,1711754567433.69,12534,-700.240963855422,60167,-126.349397590361,5126,-37.0963855421687,-15617,351.75572519084,-23040,238.427480916031,11775,-179.770992366412,-27643,-40259.5487179487,18697,13697.4358974359,26120,19135.5311355311,48392,35452.0146520147,13320,9758.24175824176,5274.3515625,7.19901112016862,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
4140544,121500713.439941,1711754568433.69,12534,-703.325301204819,60423,-126.349397590361,5638,-43.2650602409639,-15617,355.664122137405,-23296,238.427480916031,13567,-207.129770992366,-27643,-40259.5487179487,21769,15947.9853479853,35336,25887.1794871795,61704,45204.3956043956,14343,10507.6923076923,5274.3515625,6.06805569466591,50034,139.240223699633,48392,257.207461842849,3.88791208791209,
4173312,121501713.439941,1711754569433.69,12790,-706.409638554217,60679,-129.433734939759,5382,-40.1807228915663,-15617,367.389312977099,-24064,238.427480916031,11775,-179.770992366412,-27899,-40632.3897435897,24329,17823.4432234432,45064,33013.9194139194,14088,10320.8791208791,14344,10508.4249084249,5274.3515625,7.05270152937257,53362,156.041088870443,48136,284.671532846715,3.51282051282051,
4238848,122015713.439941,1711755083433.69,12534,-700.240963855422,60167,-126.349397590361,5126,-37.0963855421687,-15617,386.931297709924,-25344,238.427480916031,11263,-171.954198473282,-27131,-39513.8666666667,45833,33577.2893772894,26632,19510.6227106227,55048,40328.2051282051,14600,10695.9706959707,5274.36328125,6.6807180211495,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
4304384,122529713.439941,1711755597433.69,12278,-706.409638554217,60679,-123.265060240964,5382,-40.1807228915663,-15617,422.106870229008,-27648,238.427480916031,5887,-89.8778625954198,-30459,-44360.8,22025,16135.5311355311,23816,17447.619047619,50184,36764.8351648352,14344,10508.4249084249,5274.3671875,7.76908235355726,55922,168.901489832884,48392,257.207461842849,3.88791208791209,
4337152,122530713.439941,1711755598433.69,12790,-700.240963855422,60167,-129.433734939759,5638,-43.2650602409639,-15617,386.931297709924,-25344,238.427480916031,6143,-93.7862595419847,-31739,-46225.0051282051,13321,9758.97435897436,14088,10320.8791208791,22024,16134.7985347985,14344,10508.4249084249,5274.3671875,5.99012493404844,49778,137.943266456906,48392,257.207461842849,3.88791208791209,
4369920,122531713.439941,1711755599433.69,12534,-700.240963855422,60167,-126.349397590361,5638,-43.2650602409639,-15617,340.030534351145,-22272,238.427480916031,7423,-113.328244274809,-27899,-40632.3897435897,20489,15010.2564102564,26376,19323.0769230769,49672,36389.7435897436,14600,10695.9706959707,5274.3671875,7.19906808006478,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
4402688,122532713.439941,1711755600433.69,12278,-703.325301204819,60423,-123.265060240964,5382,-40.1807228915663,-15617,379.114503816794,-24832,238.427480916031,4351,-66.4274809160305,-29691,-43242.2769230769,17673,12947.2527472527,26632,19510.6227106227,54536,39953.1135531136,14600,10695.9706959707,5274.35546875,7.69916884393177,55666,167.617565290017,48136,284.671532846715,3.51282051282051,
4435456,122533713.439941,1711755601433.69,12022,-697.156626506024,59911,-120.180722891566,5382,-40.1807228915663,-15617,418.198473282443,-27392,238.427480916031,8703,-132.870229007634,-27643,-40259.5487179487,21257,15572.8937728938,35336,25887.1794871795,63496,46517.2161172161,14343,10507.6923076923,5274.35546875,6.97901573581565,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
4468224,122534713.439941,1711755602433.69,12278,-700.240963855422,60167,-123.265060240964,5126,-37.0963855421687,-15617,371.297709923664,-24320,238.427480916031,8703,-132.870229007634,-27387,-39886.7076923077,24585,18010.989010989,43528,31888.6446886447,10504,7695.23809523809,14088,10320.8791208791,5274.35546875,6.60525000818452,51826,148.2997788902,48136,284.671532846715,3.51282051282051,
4500992,122535713.439941,1711755603433.69,12022,-697.156626506024,59911,-120.180722891566,5382,-40.1807228915663,-15617,422.106870229008,-27648,238.427480916031,11263,-171.954198473282,-27387,-39886.7076923077,26121,19136.2637362637,50952,37327.4725274725,37896,27762.6373626374,14088,10320.8791208791,5274.3515625,6.68067573002759,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
4533760,122536713.439941,1711755604433.69,12278,-697.156626506024,59911,-123.265060240964,5382,-40.1807228915663,-15617,343.93893129771,-22528,238.427480916031,11007,-168.045801526718,-25595,-37276.8205128205,29961,21949.4505494505,62472,45767.032967033,7432,5444.68864468864,14601,10696.7032967033,5274.3515625,6.37692997391146,51058,144.421059829358,48136,284.671532846715,3.51282051282051,
4566528,122537713.439941,1711755605433.69,12534,-700.240963855422,60167,-126.349397590361,5894,-46.3493975903614,-15617,379.114503816794,-24832,238.427480916031,15103,-230.580152671756,31237,45493.8871794872,10249,7508.42490842491,43785,32076.9230769231,30728,22511.3553113553,13576,9945.78754578755,5274.3515625,7.69915447247408,55666,167.617565290017,48392,257.207461842849,3.88791208791209,
4599296,122538713.439941,1711755606433.69,13046,-697.156626506024,59911,-132.518072289157,5638,-43.2650602409639,-15617,347.847328244275,-22784,238.427480916031,12031,-183.679389312977,-31483,-45852.1641025641,37129,27200.7326007326,10760,7882.78388278388,5384,3944.32234432234,13576,9945.78754578755,5274.35546875,6.90495850613758,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
4632064,122539713.439941,1711755607433.69,12534,-697.156626506024,59911,-126.349397590361,6150,-49.433734939759,-15617,363.480916030534,-23808,238.427480916031,10239,-156.320610687023,-29947,-43615.1179487179,25353,18573.6263736264,36616,26824.9084249084,56584,41453.4798534799,13831,10132.6007326007,5274.35546875,6.30019493755478,50802,143.126867745139,48392,257.207461842849,3.88791208791209,
4664832,122540713.439941,1711755608433.69,12534,-697.156626506024,59911,-126.349397590361,5638,-43.2650602409639,-15617,426.015267175572,-27904,238.427480916031,5631,-85.969465648855,-27899,-40632.3897435897,26121,19136.2637362637,48136,35264.4688644689,22280,16322.3443223443,12552,9195.60439560439,5274.35546875,6.30019493755478,50802,143.126867745139,48136,284.671532846715,3.51282051282051,
4697600,122541713.439941,1711755609433.69,12534,-703.325301204819,60423,-126.349397590361,5382,-40.1807228915663,-15617,379.114503816794,-24832,238.427480916031,6655,-101.603053435115,-27899,-40632.3897435897,26377,19323.8095238095,54536,39953.1135531136,49672,36389.7435897436,12040,8820.51282051282,5274.36328125,7.62892315157226,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
4730368,122542713.439941,1711755610433.69,12534,-703.325301204819,60423,-126.349397590361,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,6399,-97.6946564885496,30725,44748.2051282051,6665,4882.78388278388,32265,23637.3626373626,4872,3569.23076923077,11785,8633.69963369963,5274.36328125,7.34387857271046,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
4763136,122543713.439941,1711755611433.69,12022,-700.240963855422,60167,-120.180722891566,5382,-40.1807228915663,-15617,441.648854961832,-28928,238.427480916031,6143,-93.7862595419847,-27387,-39886.7076923077,45833,33577.2893772894,28680,21010.989010989,8,5.86080586080586,11529,8446.15384615385,5274.36328125,7.48718085017577,54898,163.763085894523,48392,257.207461842849,3.88791208791209,
4795904,122544713.439941,1711755612433.69,12278,-703.325301204819,60423,-123.265060240964,5382,-40.1807228915663,-15617,406.473282442748,-26624,238.427480916031,7167,-109.419847328244,30981,45121.0461538461,16393,12009.5238095238,44553,32639.5604395604,30216,22136.2637362637,10504,7695.23809523809,5274.36328125,7.19905384009071,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
4828672,122545713.439941,1711755613433.69,12022,-703.325301204819,60423,-120.180722891566,5382,-40.1807228915663,-15617,390.839694656489,-25600,238.427480916031,11519,-175.862595419847,-30971,-45106.482051282,42505,31139.1941391941,24072,17635.1648351648,44040,32263.7362637363,10760,7882.78388278388,5274.36328125,7.34387857271046,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
4861440,122546713.439941,1711755614433.69,12278,-703.325301204819,60423,-123.265060240964,5638,-43.2650602409639,-15617,359.572519083969,-23552,238.427480916031,7935,-121.145038167939,-31995,-46597.8461538461,22537,16510.6227106227,34568,25324.5421245421,59656,43704.0293040293,9991,7319.41391941392,5274.36328125,5.91182630165175,49522,136.645576685202,48392,257.207461842849,3.88791208791209,
4894208,122547713.439941,1711755615433.69,12534,-703.325301204819,60423,-126.349397590361,5126,-37.0963855421687,-15617,367.389312977099,-24064,238.427480916031,13567,-207.129770992366,-27899,-40632.3897435897,24841,18198.5347985348,44808,32826.3736263736,15112,11071.0622710623,10504,7695.23809523809,5274.359375,6.83056282868903,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
4926976,122548713.439941,1711755616433.69,12022,-697.156626506024,59911,-120.180722891566,5126,-37.0963855421687,-15617,367.389312977099,-24064,238.427480916031,11775,-179.770992366412,-29691,-43242.2769230769,19209,14072.5274725275,38408,28137.7289377289,63496,46517.2161172161,10247,7506.95970695971,5274.359375,7.34386429397656,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
4959744,122549713.439941,1711755617433.69,12534,-700.240963855422,60167,-126.349397590361,5638,-43.2650602409639,-15617,355.664122137405,-23296,238.427480916031,8703,-132.870229007634,-31739,-46225.0051282051,11785,8633.69963369963,17160,12571.4285714286,18696,13696.7032967033,10504,7695.23809523809,5274.359375,6.68070392410885,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
4992512,122550713.439941,1711755618433.69,12278,-700.240963855422,60167,-123.265060240964,5382,-40.1807228915663,-15617,379.114503816794,-24832,238.427480916031,6911,-105.511450381679,-27899,-40632.3897435897,19721,14447.619047619,27400,20073.2600732601,51720,37890.1098901099,10504,7695.23809523809,5274.3671875,7.97622243063483,56690,172.750680519605,48392,257.207461842849,3.88791208791209,
5025280,122551713.439941,1711755619433.69,12790,-700.240963855422,60167,-129.433734939759,5894,-46.3493975903614,-15617,418.198473282443,-27392,238.427480916031,6655,-101.603053435115,30725,44748.2051282051,3849,2819.78021978022,15113,11071.7948717949,25352,18572.8937728938,8968,6569.96336996337,5274.3671875,7.27166842878078,54130,159.904350835199,48136,284.671532846715,3.51282051282051,
5058048,122552713.439941,1711755620433.69,12278,-703.325301204819,60423,-123.265060240964,5638,-43.2650602409639,-15617,383.022900763359,-25088,238.427480916031,5631,-85.969465648855,-27387,-39886.7076923077,44553,32639.5604395604,17416,12758.9743589744,23560,17260.0732600733,8968,6569.96336996337,5274.3671875,7.90759225839168,56434,171.468039018049,48392,257.207461842849,3.88791208791209,
5090816,122553713.439941,1711755621433.69,12278,-697.156626506024,59911,-123.265060240964,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,5375,-82.0610687022901,-29179,-42496.5948717949,29705,21761.9047619048,46088,33764.1025641026,23816,17447.619047619,9224,6757.50915750916,5274.359375,8.37893501449084,58226,180.438164172323,48136,284.671532846715,3.51282051282051,
5123584,122554713.439941,1711755622433.69,12278,-703.325301204819,60423,-123.265060240964,5638,-43.2650602409639,-15617,398.656488549618,-26112,238.427480916031,8191,-125.053435114504,-31483,-45852.1641025641,18441,13509.8901098901,35080,25699.6336996337,55048,40328.2051282051,10503,7694.50549450549,5274.359375,7.05272992993133,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
5221888,123069713.439941,1711756137433.69,12022,-703.325301204819,60423,-120.180722891566,5382,-40.1807228915663,-15617,394.748091603053,-25856,238.427480916031,9471,-144.595419847328,-27387,-39886.7076923077,25865,18948.7179487179,51464,37702.5641025641,38920,28512.8205128205,11016,8070.32967032967,5274.35546875,6.22312988619579,50546,141.832008109172,48136,284.671532846715,3.51282051282051,
5254656,123070713.439941,1711756138433.69,12790,-703.325301204819,60423,-129.433734939759,5382,-40.1807228915663,-15617,328.30534351145,-21504,238.427480916031,10495,-160.229007633588,-27899,-40632.3897435897,26121,19136.2637362637,54280,39765.5677655678,51464,37702.5641025641,11016,8070.32967032967,5274.35546875,7.76903918573613,55922,168.901489832884,48136,284.671532846715,3.51282051282051,
5287424,123071713.439941,1711756139433.69,12790,-703.325301204819,60423,-129.433734939759,5638,-43.2650602409639,-15617,414.290076335878,-27136,238.427480916031,12287,-187.587786259542,30725,44748.2051282051,6665,4882.78388278388,32265,23637.3626373626,5384,3944.32234432234,11273,8258.60805860806,5274.3671875,7.12609648828976,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
5320192,123072713.439941,1711756140433.69,12278,-700.240963855422,60167,-123.265060240964,5638,-43.2650602409639,-15617,347.847328244275,-22784,238.427480916031,8191,-125.053435114504,-27643,-40259.5487179487,44041,32264.4688644689,22280,16322.3443223443,50952,37327.4725274725,12040,8820.51282051282,5274.3671875,7.41573666075231,54642,162.477326662858,48392,257.207461842849,3.88791208791209,
5352960,123073713.439941,1711756141433.69,12278,-700.240963855422,60167,-123.265060240964,5382,-40.1807228915663,-15617,371.297709923664,-24320,238.427480916031,6399,-97.6946564885496,-31227,-45479.3230769231,24329,17823.4432234432,39432,28887.9120879121,9992,7320.14652014652,12296,9008.05860805861,5274.3671875,7.05275833049015,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
5385728,123074713.439941,1711756142433.69,12022,-700.240963855422,60167,-120.180722891566,5638,-43.2650602409639,-15617,394.748091603053,-25856,238.427480916031,9215,-140.687022900763,-30715,-44733.641025641,16649,12197.0695970696,29448,21573.6263736264,55048,40328.2051282051,12552,9195.60439560439,5274.3515625,6.52946199926987,51570,147.007501031486,48392,257.207461842849,3.88791208791209,
5418496,123075713.439941,1711756143433.69,12278,-697.156626506024,59911,-123.265060240964,5382,-40.1807228915663,-15617,394.748091603053,-25856,238.427480916031,3839,-58.6106870229008,-27387,-39886.7076923077,22537,16510.6227106227,37384,27387.5457875458,4360,3194.13919413919,13320,9758.24175824176,5274.3515625,7.97616466569245,56690,172.750680519605,48392,257.207461842849,3.88791208791209,
