ID, Name
48098, 2_5-0_f_8
48242, 2_5-1_f_8
48288, 2_5-1_m_6
48342, 2_4-0_f_5
48412, 2_3-1_f_2
48492, 2_6-0_f_10
48558, 2_5-1_m_7
48642, 2_3-0_m_3
48662, 2_6-0_m_16
48690, 2_3-0_m_3 (1)
48726, 2_6-1_f_11
48798, 2_2-0_f_0
48818, 2_5-0_f_9
48808, 2_3-0_f_4
48828, 2_6-1_f_10
48868, 2_6-0_f_11
48882, 2_5-0_m_7
48906, 2_2-0_m_1
49006, 2_3-0_f_2
49084, 2_5-0_m_6
49502, 2_6-1_m_13
49540, 2_6-0_f_17
49574, 2_6-0_m_12
49586, 2_6-0_f_18
49640, 2_6-0_m_13
49672, 2_6-1_m_12
49696, 2_6-0_m_15
49716, 2_6-1_f_14
49728, 2_6-0_f_14
49412, HeadCollider
49492, Player_VR
