scene,protocol_order,n_windows,n_pids,y_std_window,y_std_pidmean_median,y_std_pidmean_q25,y_std_pidmean_q75,y_mean_pidmean_median
Elevator1,1,11760,105,0.9966371059417725,0.93504399061203,0.7893373966217041,1.067081332206726,0.32869869470596313
Outside,2,18217,107,0.9753660559654236,0.9796168208122253,0.9606062173843384,0.9910459518432617,0.014038625173270702
Hallway,3,12355,107,0.9777292609214783,0.979451596736908,0.9651788473129272,0.9916118383407593,0.013525864109396935
Elevator2,4,10194,105,0.8944875001907349,0.7459390163421631,0.5423754453659058,0.9453362226486206,-0.33035850524902344
Hall,5,6244,106,0.9521170258522034,0.953385591506958,0.9286235570907593,0.9795504212379456,0.03969518467783928
