scene,protocol_order,dist_std_window,dist_std_pidmean_median
Elevator1,1,0.7377681136131287,0.7737404704093933
Outside,2,0.739372730255127,0.7531030178070068
Hallway,3,0.6845884919166565,0.7472894787788391
Elevator2,4,0.816800594329834,0.810092568397522
Hall,5,0.836640477180481,0.8313987255096436
