scene,n_pids_kept,Y_var,X_var_bw,coupling_bw_fisher,coupling_dist_fisher,n_bw_corrs,n_dist_corrs,Y_var_z,X_var_bw_z,coupling_bw_fisher_z,Bottleneck
Elevator1,105,0.93504399061203,0.10478813201189041,-0.030653926568077496,-0.08193204995668543,105,105,0.16625134956284376,-1.2395340469318818,-0.031096277896757483,X_var (feature) (z=-1.24)
Outside,107,0.9796168208122253,0.26656967401504517,-0.10131467377787286,-0.004842346731433037,107,100,0.6192977576479223,0.7415629599301076,-0.34745644574713275,none (all sufficient)
Hallway,107,0.979451596736908,0.28166335821151733,0.3485015334002386,-0.06413656583851367,106,104,0.617618389891477,0.9263927755809439,1.6664471205734845,none (all sufficient)
Elevator2,105,0.7459390163421631,0.13183332979679108,-0.24989552633104622,-0.06136670467980159,105,105,-1.7558462367737089,-0.9083518878409985,-1.0126781609026962,Y_var (target) (z=-1.76)
Hall,106,0.953385591506958,0.24520406126976013,-0.08517943389571955,0.07226707827874841,106,105,0.3526787396714658,0.4799301992618284,-0.27521623602689826,none (all sufficient)
