scene,n_pids_kept,Y_var,X_var_bw,coupling_bw_fisher,coupling_dist_fisher,n_bw_corrs,n_dist_corrs,Y_var_z,X_var_bw_z,coupling_bw_fisher_z,Bottleneck,Bottleneck_v2
Elevator1,105,0.93504399061203,0.1047881320118904,-0.0306539265680774,-0.0819320499566854,105,105,0.1662513495628437,-1.2395340469318818,-0.0310962778967574,X_var (feature) (z=-1.24),"(b) X_var, (c) Coupling"
Outside,107,0.9796168208122252,0.2665696740150451,-0.1013146737778728,-0.004842346731433,107,100,0.6192977576479223,0.7415629599301076,-0.3474564457471327,none (all sufficient),(c) Coupling
Hallway,107,0.979451596736908,0.2816633582115173,0.3485015334002386,-0.0641365658385136,106,104,0.617618389891477,0.926392775580944,1.6664471205734843,none (all sufficient),none
Elevator2,105,0.7459390163421631,0.131833329796791,-0.2498955263310462,-0.0613667046798015,105,105,-1.7558462367737089,-0.9083518878409984,-1.0126781609026962,Y_var (target) (z=-1.76),(b) X_var
Hall,106,0.953385591506958,0.2452040612697601,-0.0851794338957195,0.0722670782787484,106,105,0.3526787396714658,0.4799301992618284,-0.2752162360268982,none (all sufficient),(c) Coupling
