scene,protocol_order,n_pids,y_pidmean_mean,y_pidmean_std,y_pidmean_sem
Elevator1,1,105,0.23735044958247314,0.3648351641375693,0.035775031176582546
Outside,2,107,0.018290641687964918,0.01504049815803699,0.0014608623223711802
Hallway,3,107,0.016646604566393143,0.016340025018415638,0.0015870835290951104
Elevator2,4,105,-0.2478873757468093,0.4198554873993923,0.041170217752663676
Hall,5,106,0.03694900001038441,0.0318818356124653,0.003111348569993803
