scene,protocol_order,n_windows,n_pids,rate_window,rate_pid_mean,rate_pid_std
Elevator1,1,11760,105,0.1472497284412384,0.1439061015844345,0.03442482277750969
Outside,2,18217,107,0.3304583728313446,0.3330461084842682,0.04796743392944336
Hallway,3,12355,107,0.24506327509880066,0.27276480197906494,0.07080937922000885
Elevator2,4,10194,105,0.1349630504846573,0.13438566029071808,0.03304731473326683
Hall,5,6244,106,0.4756491482257843,0.4825271666049957,0.061118531972169876
