SubjectID, Time, Event
124356, 928.1469, Start
124356, 928.1469, Disable
124356, 1094.897, Enable
124610, 928.1469, Start
124610, 928.1469, Disable
124760, 928.1469, Start
124760, 928.1469, Disable
124760, 1094.897, Enable
124922, 928.1469, Start
124922, 928.1469, Disable
124922, 1094.897, Enable
126830, 928.1469, Start
126830, 928.1469, Disable
126468, 928.1469, Start
126468, 928.1469, Disable
126534, 928.1469, Start
126534, 928.1469, Disable
126204, 928.1469, Start
126204, 928.1469, Disable
126850, 928.1469, Start
126850, 928.1469, Disable
126058, 928.1469, Start
126058, 928.1469, Disable
126058, 966.1495, Enable
126552, 928.1469, Start
126552, 928.1469, Disable
126552, 985.9545, Enable
126552, 1084.367, Disable
126552, 1084.367, Destroy
126540, 928.1469, Start
126540, 928.1469, Disable
126540, 1025.539, Enable
126540, 1083.245, Disable
126540, 1083.245, Destroy
126544, 928.1469, Start
126544, 928.1469, Disable
126638, 928.1469, Start
126638, 928.1469, Disable
126646, 928.1469, Start
126646, 928.1469, Disable
126646, 1045.306, Enable
126646, 1084.944, Disable
126646, 1084.944, Destroy
127108, 928.1469, Start
127108, 928.1469, Disable
126526, 928.1469, Start
126526, 928.1469, Disable
127224, 928.1469, Start
127224, 928.1469, Disable
127306, 928.1469, Start
127306, 928.1469, Disable
127306, 1045.306, Enable
127306, 1083.944, Disable
127306, 1083.944, Destroy
127312, 928.1469, Start
127312, 928.1469, Disable
126464, 928.1469, Start
126464, 928.1469, Disable
126676, 928.1469, Start
126676, 928.1469, Disable
126676, 1025.539, Enable
126676, 1084.789, Disable
126676, 1084.789, Destroy
126674, 928.1469, Start
126674, 928.1469, Disable
125912, 928.1469, Start
125912, 928.1469, Disable
126652, 928.1469, Start
126652, 928.1469, Disable
126660, 928.1469, Start
126660, 928.1469, Disable
126660, 1045.306, Enable
126660, 1085.633, Disable
126660, 1085.633, Destroy
127322, 928.1469, Start
127322, 928.1469, Disable
127316, 928.1469, Start
127316, 928.1469, Disable
127316, 1045.306, Enable
127316, 1086.622, Disable
127316, 1086.622, Destroy
127286, 928.1469, Start
127286, 928.1469, Disable
126724, 928.1469, Start
126724, 928.1469, Disable
126724, 985.9545, Enable
126724, 1084.211, Disable
126724, 1084.211, Destroy
126732, 928.1469, Start
126732, 928.1469, Disable
126826, 928.1469, Start
126826, 928.1469, Disable
126818, 928.1469, Start
126818, 928.1469, Disable
126818, 1045.306, Enable
126818, 1086.456, Disable
126818, 1086.456, Destroy
126068, 928.1469, Start
126068, 928.1469, Disable
126934, 928.1469, Start
127280, 928.1469, Start
